time_tuple,weather_summary,temperature,pressure,humidity,visibility,wind_speed,wind_direction,cloud_coverage
2017-08-01 00:20:00,Clear,288.34,1015.0,93,10000.0,0.5,140.0,0
2017-08-01 01:20:00,Clouds,288.14,1015.0,93,10000.0,1.0,30.0,40
2017-08-01 02:20:00,Clouds,288.33,1015.0,88,10000.0,2.6,10.0,20
2017-08-01 03:20:00,Clouds,287.93,1015.0,93,10000.0,2.1,30.0,75
2017-08-01 04:20:00,Fog,288.13,1014.0,93,10000.0,2.1,30.0,0
2017-08-01 05:20:00,Clear,289.33,1015.0,88,10000.0,2.1,10.0,0
2017-08-01 06:20:00,Clear,290.35,1015.0,88,10000.0,3.1,350.0,0
2017-08-01 07:20:00,Clear,291.36,1015.0,82,10000.0,2.6,10.0,0
2017-08-01 08:20:00,Clear,292.74,1016.0,68,10000.0,2.6,360.0,0
2017-08-01 09:20:00,Clouds,293.55,1015.0,64,10000.0,3.1,360.0,75
2017-08-01 10:20:00,Clouds,294.75,1015.0,56,10000.0,3.1,10.0,75
2017-08-01 11:20:00,Clouds,295.36,1015.0,60,10000.0,3.1,30.0,75
2017-08-01 12:20:00,Clouds,295.96,1015.0,53,10000.0,2.1,50.0,75
2017-08-01 13:20:00,Clouds,295.75,1015.0,56,10000.0,2.1,30.0,75
2017-08-01 14:20:00,Clear,295.35,1015.0,53,10000.0,2.6,360.0,0
2017-08-01 15:20:00,Clear,294.16,1015.0,60,10000.0,3.1,10.0,0
2017-08-01 16:20:00,Rain,293.35,1014.0,64,10000.0,3.6,360.0,0
2017-08-01 17:20:00,Rain,291.76,1015.0,82,9000.0,5.1,350.0,75
2017-08-01 18:20:00,Rain,289.55,1015.0,82,10000.0,2.6,20.0,75
2017-08-01 19:20:00,Rain,289.14,1015.0,82,10000.0,0.5,110.0,0
2017-08-01 20:20:00,Clear,288.33,1013.0,88,10000.0,3.6,90.0,0
2017-08-01 21:20:00,Mist,288.33,1014.0,82,10000.0,1.5,70.0,0
2017-08-01 22:20:00,Mist,287.72,1014.0,82,10000.0,1.0,120.0,0
2017-08-01 23:20:00,Clear,287.34,1014.0,93,10000.0,1.0,240.0,0
2017-08-02 00:20:00,Fog,287.33,1014.0,93,9000.0,1.5,230.0,36
2017-08-02 01:20:00,Fog,286.94,1014.0,100,7000.0,2.6,220.0,56
2017-08-02 02:20:00,Mist,287.53,1014.0,100,10000.0,3.6,230.0,75
2017-08-02 03:20:00,Mist,287.55,1014.0,93,10000.0,3.6,260.0,40
2017-08-02 04:20:00,Mist,288.55,1014.0,93,10000.0,3.6,260.0,75
2017-08-02 05:20:00,Mist,289.16,1015.0,93,10000.0,4.6,260.0,75
2017-08-02 06:20:00,Clouds,289.75,1015.0,88,10000.0,4.6,270.0,75
2017-08-02 07:20:00,Clouds,290.75,1015.0,77,10000.0,4.6,270.0,40
2017-08-02 08:20:00,Clouds,291.74,1016.0,68,10000.0,4.6,280.0,40
2017-08-02 09:20:00,Clouds,293.15,1016.0,68,10000.0,4.1,230.0,40
2017-08-02 10:20:00,Clouds,293.14,1016.0,68,10000.0,4.1,200.0,40
2017-08-02 11:20:00,Clouds,293.55,1016.0,72,10000.0,5.1,170.0,40
2017-08-02 12:20:00,Clouds,294.33,1015.0,68,10000.0,7.2,190.0,40
2017-08-02 13:20:00,Clouds,293.92,1015.0,53,10000.0,5.7,180.0,40
2017-08-02 14:20:00,Clouds,294.33,1015.0,49,10000.0,7.2,230.0,75
2017-08-02 15:20:00,Clear,294.15,1015.0,60,10000.0,7.7,230.0,0
2017-08-02 16:20:00,Rain,293.14,1015.0,68,10000.0,4.6,220.0,0
2017-08-02 17:20:00,Clear,292.53,1015.0,72,10000.0,3.1,200.0,0
2017-08-02 18:20:00,Clear,291.53,1015.0,77,10000.0,3.6,210.0,0
2017-08-02 19:20:00,Clear,290.72,1015.0,82,10000.0,3.1,190.0,0
2017-08-02 19:20:00,Clear,290.69,1015.0,82,10000.0,3.1,190.0,0
2017-08-02 21:45:29,Clear,289.539,1026.95,92,,4.9,201.50099999999998,8
2017-08-02 21:50:00,Clouds,289.32,1014.0,88,10000.0,2.6,190.0,75
2017-08-02 23:20:00,Clear,288.63,1014.0,87,10000.0,2.6,240.0,0
2017-08-03 00:20:00,Mist,287.94,1014.0,87,10000.0,2.1,240.0,0
2017-08-03 01:20:00,Mist,287.34,1013.0,93,10000.0,2.1,240.0,0
2017-08-03 02:20:00,Mist,286.93,1013.0,93,10000.0,1.0,220.0,0
2017-08-03 02:50:00,Fog,286.72,1013.0,100,9000.0,3.73,170.00099999999998,48
2017-08-03 04:50:02,Rain,290.084,1022.83,97,,4.31,165.502,92
2017-08-03 05:20:00,Mist,289.29,1011.0,88,10000.0,4.6,160.0,0
2017-08-03 05:20:00,Mist,289.32,1011.0,88,10000.0,4.6,160.0,0
2017-08-03 07:20:00,Rain,290.35,1010.0,88,10000.0,4.6,170.0,75
2017-08-03 08:20:00,Rain,289.75,1009.0,100,3500.0,5.7,170.0,75
2017-08-03 08:50:00,Rain,290.15,1009.0,93,4900.0,5.7,180.0,75
2017-08-03 10:20:00,Rain,290.15,1008.0,100,10000.0,6.2,170.0,75
2017-08-03 11:20:00,Rain,290.09,1007.0,93,7000.0,6.7,190.0,75
2017-08-03 12:20:00,Rain,291.14,1006.0,88,,4.6,190.0,92
2017-08-03 13:20:00,Rain,291.35,1005.0,100,6000.0,4.6,160.0,75
2017-08-03 14:20:00,Rain,291.55,1004.0,93,10000.0,5.1,160.0,75
2017-08-03 15:20:00,Rain,291.75,1004.0,88,10000.0,3.6,150.0,75
2017-08-03 16:20:00,Thunderstorm,291.35,1002.0,93,8000.0,6.2,130.0,75
2017-08-03 17:20:00,Rain,291.35,1003.0,93,10000.0,6.7,270.0,75
2017-08-03 18:20:00,Rain,290.75,1004.0,88,10000.0,4.1,250.0,40
2017-08-03 19:20:00,Rain,290.56,1004.0,93,,4.6,230.0,24
2017-08-03 20:20:00,Rain,289.76,1005.0,93,,4.1,220.0,24
2017-08-03 21:20:00,Clouds,290.15,1005.0,88,10000.0,6.2,230.0,75
2017-08-03 22:20:00,Clear,289.56,1005.0,93,10000.0,4.6,220.0,0
2017-08-03 23:20:00,Drizzle,289.15,1005.0,93,10000.0,5.1,220.0,20
2017-08-04 00:20:00,Clouds,289.34,1004.0,88,10000.0,6.7,230.0,75
2017-08-04 01:20:00,Rain,289.34,1004.0,88,10000.0,5.7,220.0,75
2017-08-04 02:20:00,Drizzle,289.54,1004.0,88,10000.0,6.2,210.0,75
2017-08-04 03:20:00,Clouds,289.54,1004.0,88,10000.0,6.2,220.0,75
2017-08-04 04:20:00,Clouds,289.34,1004.0,88,10000.0,6.7,230.0,75
2017-08-04 04:50:00,Rain,289.55,1004.0,88,10000.0,6.7,230.0,75
2017-08-04 06:20:00,Clouds,290.15,1004.0,88,10000.0,6.2,230.0,75
2017-08-04 07:20:00,Clouds,290.75,1004.0,82,10000.0,7.2,230.0,75
2017-08-04 08:20:00,Clouds,291.55,1004.0,82,10000.0,8.2,220.0,75
2017-08-04 09:20:00,Rain,291.57,1004.0,82,10000.0,7.7,220.0,75
2017-08-04 10:20:00,Rain,291.17,1004.0,93,10000.0,6.2,220.0,75
2017-08-04 11:20:00,Clouds,292.33,1004.0,68,10000.0,8.7,230.0,40
2017-08-04 12:20:00,Clouds,292.33,1004.0,68,10000.0,9.8,230.0,75
2017-08-04 13:20:00,Rain,291.73,1003.0,68,10000.0,10.8,220.0,0
2017-08-04 14:20:00,Rain,290.56,1004.0,82,10000.0,8.2,260.0,75
2017-08-04 15:20:00,Clear,291.75,1004.0,77,10000.0,7.7,230.0,0
2017-08-04 16:20:00,Clouds,291.36,1004.0,88,10000.0,7.2,220.0,75
2017-08-04 17:20:00,Rain,291.16,1004.0,82,6000.0,7.7,230.0,75
2017-08-04 18:20:00,Clouds,290.56,1005.0,77,10000.0,8.2,240.0,40
2017-08-04 19:20:00,Clouds,289.93,1006.0,77,10000.0,7.2,240.0,40
2017-08-04 20:20:00,Rain,289.35,1006.0,82,10000.0,7.2,230.0,0
2017-08-04 21:20:00,Drizzle,289.36,1006.0,87,10000.0,7.7,240.0,40
2017-08-04 22:20:00,Clouds,288.75,1006.0,82,10000.0,6.7,240.0,40
2017-08-04 23:20:00,Clear,289.15,1006.0,82,10000.0,8.2,240.0,0
2017-08-05 00:20:00,Clear,289.15,1006.0,82,10000.0,8.2,240.0,0
2017-08-05 01:20:00,Rain,289.15,1006.0,77,10000.0,8.2,240.0,75
2017-08-05 02:20:00,Rain,288.57,1006.0,93,10000.0,6.7,240.0,75
2017-08-05 03:20:00,Clouds,288.36,1006.0,87,10000.0,6.2,240.0,40
2017-08-05 04:20:00,Clouds,288.56,1006.0,87,10000.0,7.7,240.0,40
2017-08-05 05:20:00,Rain,288.74,1007.0,82,10000.0,8.2,250.0,20
2017-08-05 06:20:00,Drizzle,289.54,1007.0,77,10000.0,7.7,260.0,20
2017-08-05 07:20:00,Clouds,290.14,1008.0,72,10000.0,9.8,250.0,20
2017-08-05 08:20:00,Clouds,291.14,1008.0,63,10000.0,7.7,260.0,75
2017-08-05 09:20:00,Drizzle,291.33,1008.0,63,10000.0,8.7,260.0,20
2017-08-05 10:20:00,Rain,292.13,1009.0,60,10000.0,7.7,240.0,40
2017-08-05 11:20:00,Rain,292.32,1009.0,52,10000.0,7.7,250.0,40
2017-08-05 12:20:00,Rain,292.72,1009.0,52,10000.0,7.7,240.0,20
2017-08-05 13:20:00,Clouds,293.11,1009.0,46,10000.0,8.2,250.0,40
2017-08-05 14:20:00,Clouds,293.94,1009.0,52,10000.0,7.2,250.0,75
2017-08-05 15:20:00,Clear,293.15,1009.0,56,10000.0,8.2,250.0,0
2017-08-05 16:20:00,Rain,291.93,1009.0,60,10000.0,7.2,240.0,75
2017-08-05 17:20:00,Clouds,291.14,1010.0,59,10000.0,6.7,260.0,75
2017-08-05 18:20:00,Clouds,290.35,1010.0,72,10000.0,4.6,250.0,75
2017-08-05 19:20:00,Clouds,289.15,1010.0,82,10000.0,4.1,250.0,20
2017-08-05 20:20:00,Rain,288.54,1011.0,77,10000.0,3.1,260.0,75
2017-08-05 21:20:00,Clouds,288.35,1011.0,72,10000.0,5.1,240.0,75
2017-08-05 22:20:00,Clear,287.76,1011.0,82,10000.0,5.7,250.0,0
2017-08-05 23:20:00,Clear,287.57,1011.0,87,10000.0,5.7,260.0,0
2017-08-06 00:20:00,Drizzle,286.96,1012.0,87,10000.0,4.6,260.0,0
2017-08-06 01:20:00,Clear,286.77,1012.0,93,10000.0,3.6,260.0,0
2017-08-06 02:20:00,Clear,286.56,1012.0,87,10000.0,3.6,260.0,0
2017-08-06 03:20:00,Clear,286.56,1012.0,87,10000.0,4.1,260.0,0
2017-08-06 04:20:00,Clear,286.56,1013.0,87,10000.0,4.1,260.0,0
2017-08-06 05:20:00,Clear,287.75,1013.0,82,10000.0,5.1,260.0,0
2017-08-06 06:20:00,Clouds,288.36,1014.0,82,10000.0,6.2,260.0,75
2017-08-06 07:20:00,Clouds,289.16,1015.0,77,10000.0,6.7,260.0,40
2017-08-06 08:20:00,Rain,289.94,1015.0,63,10000.0,7.2,260.0,20
2017-08-06 09:27:00,Rain,289.76,1016.0,77,10000.0,8.2,290.0,40
2017-08-06 10:23:00,Clouds,291.34,1016.0,63,10000.0,7.2,270.0,40
2017-08-06 11:20:00,Clouds,291.13,1016.0,52,10000.0,6.7,290.0,40
2017-08-06 12:21:00,Clouds,292.12,1017.0,49,10000.0,8.2,270.0,40
2017-08-06 13:20:00,Clouds,291.93,1017.0,52,10000.0,8.2,280.0,40
2017-08-06 14:20:00,Rain,291.94,1017.0,55,10000.0,7.7,280.0,40
2017-08-06 15:20:00,Clouds,291.54,1018.0,52,10000.0,8.2,290.0,75
2017-08-06 16:20:00,Clouds,291.34,1018.0,55,10000.0,7.7,290.0,75
2017-08-06 17:20:00,Clouds,290.74,1018.0,59,10000.0,5.7,290.0,40
2017-08-06 18:20:00,Clouds,290.15,1019.0,67,10000.0,4.6,280.0,40
2017-08-06 19:20:00,Clouds,288.53,1019.0,63,10000.0,4.6,270.0,40
2017-08-06 20:20:00,Clouds,287.75,1019.0,72,10000.0,3.6,250.0,40
2017-08-06 21:20:00,Clouds,287.17,1020.0,82,10000.0,3.6,250.0,20
2017-08-06 22:20:00,Clear,287.16,1020.0,82,10000.0,3.6,250.0,0
2017-08-06 23:20:00,Clear,286.56,1020.0,82,10000.0,3.6,250.0,0
2017-08-07 00:20:00,Clear,286.56,1020.0,82,10000.0,4.1,250.0,0
2017-08-07 01:20:00,Clear,286.16,1020.0,87,10000.0,2.6,250.0,0
2017-08-07 02:20:00,Clear,285.77,1020.0,87,10000.0,3.1,260.0,0
2017-08-07 03:20:00,Clear,284.77,1021.0,87,10000.0,3.1,240.0,0
2017-08-07 04:20:00,Clear,285.56,1021.0,87,10000.0,2.6,230.0,0
2017-08-07 05:20:00,Clear,287.36,1021.0,82,10000.0,3.6,240.0,0
2017-08-07 06:20:00,Clear,288.34,1021.0,77,10000.0,4.6,240.0,0
2017-08-07 07:20:00,Clouds,289.74,1021.0,72,10000.0,4.6,240.0,40
2017-08-07 08:20:00,Clouds,290.75,1021.0,72,10000.0,4.6,220.0,40
2017-08-07 09:20:00,Clouds,291.15,1021.0,72,10000.0,4.1,210.0,75
2017-08-07 10:20:00,Clouds,292.15,1020.0,63,10000.0,5.7,180.0,75
2017-08-07 11:20:00,Clouds,292.35,1020.0,63,10000.0,6.7,180.0,75
2017-08-07 12:20:00,Clouds,293.16,1020.0,63,10000.0,5.7,170.0,75
2017-08-07 13:20:00,Clouds,293.16,1020.0,63,10000.0,7.2,160.0,40
2017-08-07 14:20:00,Clouds,293.36,1019.0,68,10000.0,6.7,160.0,40
2017-08-07 15:20:00,Clear,293.36,1019.0,68,10000.0,6.2,170.0,0
2017-08-07 16:20:00,Clear,292.76,1019.0,72,10000.0,6.7,160.0,0
2017-08-07 17:20:00,Clear,292.75,1019.0,68,10000.0,6.7,160.0,0
2017-08-07 18:20:00,Clear,291.15,1019.0,77,10000.0,6.2,160.0,0
2017-08-07 19:20:00,Clear,289.55,1019.0,82,10000.0,5.7,160.0,0
2017-08-07 20:20:00,Clear,287.93,1019.0,88,10000.0,3.6,150.0,0
2017-08-07 21:20:00,Clear,287.32,1019.0,88,10000.0,3.6,150.0,0
2017-08-07 22:20:00,Clear,287.32,1019.0,88,10000.0,4.1,140.0,0
2017-08-07 23:20:00,Clear,287.51,1019.0,88,10000.0,4.1,140.0,0
2017-08-08 00:20:00,Clear,287.11,1018.0,88,10000.0,3.6,140.0,0
2017-08-08 01:20:00,Clear,286.9,1018.0,88,10000.0,4.1,140.0,0
2017-08-08 02:20:00,Clear,287.1,1018.0,88,10000.0,3.6,140.0,0
2017-08-08 03:20:00,Clear,287.72,1018.0,82,10000.0,3.1,140.0,0
2017-08-08 04:20:00,Clear,288.33,1018.0,88,10000.0,4.6,140.0,0
2017-08-08 05:20:00,Clear,289.72,1018.0,82,10000.0,5.1,140.0,0
2017-08-08 06:20:00,Clouds,290.74,1017.0,82,10000.0,6.2,130.0,20
2017-08-08 07:20:00,Clear,292.75,1017.0,72,10000.0,5.1,140.0,0
2017-08-08 08:20:00,Clear,293.97,1017.0,64,10000.0,5.7,130.0,0
2017-08-08 09:20:00,Clear,294.98,1017.0,64,10000.0,4.6,130.0,0
2017-08-08 10:20:00,Clear,295.18,1017.0,68,10000.0,7.7,140.0,0
2017-08-08 11:20:00,Clear,294.98,1016.0,64,10000.0,6.7,140.0,0
2017-08-08 12:20:00,Clear,295.38,1016.0,56,10000.0,7.2,140.0,0
2017-08-08 13:20:00,Clear,295.18,1016.0,56,10000.0,6.2,140.0,0
2017-08-08 14:20:00,Clear,294.77,1015.0,56,10000.0,8.2,120.0,0
2017-08-08 15:20:00,Clear,294.36,1015.0,56,10000.0,6.7,120.0,0
2017-08-08 16:20:00,Clear,293.75,1014.0,56,10000.0,7.7,120.0,0
2017-08-08 17:20:00,Clear,293.15,1014.0,64,10000.0,6.2,100.0,0
2017-08-08 18:20:00,Clear,292.54,1014.0,64,10000.0,6.7,90.0,0
2017-08-08 19:20:00,Rain,291.74,1013.0,68,10000.0,6.7,90.0,0
2017-08-08 20:20:00,Rain,291.54,1013.0,72,10000.0,5.1,90.0,92
2017-08-08 21:20:00,Clear,291.34,1012.0,72,10000.0,4.6,100.0,0
2017-08-08 22:20:00,Clear,291.54,1012.0,72,10000.0,4.6,100.0,0
2017-08-08 23:20:00,Clear,291.93,1011.0,64,10000.0,6.2,110.0,0
2017-08-09 00:20:00,Clear,291.73,1010.0,68,10000.0,7.7,120.0,0
2017-08-09 01:20:00,Clear,291.53,1010.0,68,10000.0,8.7,130.0,0
2017-08-09 02:20:00,Clear,291.34,1010.0,77,10000.0,8.2,140.0,0
2017-08-09 03:20:00,Clear,291.34,1010.0,77,10000.0,6.7,140.0,0
2017-08-09 04:20:00,Rain,291.15,1010.0,88,9000.0,5.7,160.0,75
2017-08-09 05:20:00,Rain,290.34,1010.0,88,10000.0,3.6,160.0,0
2017-08-09 06:20:00,Clear,290.33,1010.0,93,10000.0,3.1,180.0,0
2017-08-09 07:20:00,Clouds,290.93,1011.0,88,10000.0,5.1,220.0,75
2017-08-09 08:20:00,Mist,291.53,1012.0,77,10000.0,6.7,230.0,40
2017-08-09 09:20:00,Clouds,292.55,1012.0,72,10000.0,6.7,220.0,75
2017-08-09 10:20:00,Clouds,293.36,1013.0,68,10000.0,6.2,220.0,75
2017-08-09 11:20:00,Clouds,294.15,1013.0,68,10000.0,7.2,230.0,40
2017-08-09 12:20:00,Clouds,293.94,1014.0,60,10000.0,7.2,230.0,20
2017-08-09 13:20:00,Clouds,294.54,1014.0,56,10000.0,7.7,230.0,20
2017-08-09 14:20:00,Clouds,294.74,1014.0,60,10000.0,7.7,230.0,20
2017-08-09 15:20:00,Clouds,294.56,1015.0,68,10000.0,4.6,190.0,20
2017-08-09 16:20:00,Clear,294.15,1015.0,64,10000.0,4.6,190.0,0
2017-08-09 17:20:00,Clouds,293.36,1015.0,72,10000.0,4.6,210.0,40
2017-08-09 18:20:00,Clouds,292.75,1016.0,68,10000.0,4.6,230.0,40
2017-08-09 19:20:00,Clear,290.55,1017.0,72,10000.0,4.6,230.0,0
2017-08-09 20:20:00,Clear,289.36,1017.0,77,10000.0,3.1,220.0,0
2017-08-09 21:20:00,Clear,289.35,1017.0,77,10000.0,3.1,210.0,0
2017-08-09 22:20:00,Clear,288.55,1017.0,82,10000.0,3.6,210.0,0
2017-08-09 23:20:00,Mist,287.95,1017.0,87,10000.0,2.1,210.0,0
2017-08-10 00:20:00,Mist,286.94,1017.0,87,10000.0,3.1,200.0,0
2017-08-10 01:20:00,Clear,287.15,1017.0,87,10000.0,3.1,220.0,0
2017-08-10 02:20:00,Fog,286.12,1017.0,87,10000.0,3.1,200.0,0
2017-08-10 03:20:00,Mist,286.34,1018.0,93,10000.0,3.6,210.0,0
2017-08-10 04:20:00,Mist,286.73,1018.0,87,10000.0,3.6,210.0,0
2017-08-10 05:20:00,Mist,288.75,1017.0,87,10000.0,3.6,240.0,0
2017-08-10 06:20:00,Clouds,289.75,1017.0,82,10000.0,4.1,250.0,75
2017-08-10 07:20:00,Clouds,290.54,1018.0,82,10000.0,4.1,240.0,20
2017-08-10 08:20:00,Clouds,291.55,1018.0,82,10000.0,4.1,240.0,75
2017-08-10 09:20:00,Clouds,292.35,1018.0,72,10000.0,4.1,210.0,20
2017-08-10 10:20:00,Clouds,293.14,1018.0,73,10000.0,3.6,220.0,40
2017-08-10 11:20:00,Clouds,292.94,1019.0,68,10000.0,3.1,250.0,75
2017-08-10 12:20:00,Clouds,293.35,1019.0,64,10000.0,3.6,290.0,75
2017-08-10 13:20:00,Clouds,293.35,1019.0,64,10000.0,4.1,270.0,75
2017-08-10 14:20:00,Clouds,293.54,1019.0,64,10000.0,4.1,270.0,40
2017-08-10 15:20:00,Clouds,293.14,1018.0,60,10000.0,3.6,250.0,75
2017-08-10 16:20:00,Clouds,292.94,1019.0,64,10000.0,5.1,280.0,75
2017-08-10 17:20:00,Clouds,292.74,1019.0,60,10000.0,3.6,310.0,40
2017-08-10 18:20:00,Clouds,291.54,1019.0,63,10000.0,2.1,320.0,20
2017-08-10 19:20:00,Clear,289.33,1019.0,68,10000.0,2.1,280.0,0
2017-08-10 19:50:00,Clear,288.3,1019.0,68,10000.0,2.1,280.0,0
2017-08-10 21:20:00,Clear,286.51,1019.0,72,10000.0,2.12,327.002,0
2017-08-10 22:20:00,Fog,286.13,1019.0,77,10000.0,0.5,240.0,0
2017-08-10 23:20:00,Fog,285.32,1018.0,87,10000.0,1.5,320.0,0
2017-08-11 00:20:00,Fog,284.72,1019.0,87,10000.0,2.1,290.0,0
2017-08-11 01:20:00,Fog,284.3,1018.0,87,10000.0,2.1,350.0,0
2017-08-11 02:20:00,Fog,284.1,1018.0,87,10000.0,3.1,350.0,0
2017-08-11 03:20:00,Fog,283.82,1017.0,87,10000.0,2.6,350.0,0
2017-08-11 04:20:00,Clear,285.07,1017.0,87,10000.0,2.6,340.0,0
2017-08-11 05:20:00,Clouds,286.31,1017.0,87,10000.0,2.6,10.0,75
2017-08-11 06:20:00,Clouds,287.31,1017.0,87,10000.0,2.6,20.0,75
2017-08-11 07:20:00,Clouds,290.15,1017.0,82,10000.0,3.6,10.0,75
2017-08-11 08:20:00,Clouds,290.95,1016.0,88,10000.0,3.6,10.0,75
2017-08-11 09:20:00,Clear,292.16,1016.0,82,10000.0,4.1,10.0,0
2017-08-11 10:20:00,Clear,292.36,1016.0,77,10000.0,2.6,360.0,0
2017-08-11 11:20:00,Clear,292.57,1015.0,77,10000.0,1.0,350.0,0
2017-08-11 12:20:00,Clear,292.16,1015.0,77,10000.0,2.1,330.0,0
2017-08-11 13:20:00,Clear,292.75,1014.0,68,10000.0,2.6,360.0,0
2017-08-11 14:20:00,Clouds,291.97,1014.0,82,10000.0,5.1,10.0,75
2017-08-11 15:20:00,Clear,291.56,1013.0,77,10000.0,6.7,350.0,0
2017-08-11 16:20:00,Clouds,291.36,1013.0,77,10000.0,5.7,350.0,75
2017-08-11 17:20:00,Clouds,291.15,1012.0,77,10000.0,6.2,350.0,75
2017-08-11 17:50:00,Clouds,290.75,1012.0,72,10000.0,5.7,360.0,75
2017-08-11 19:20:00,Clouds,290.15,1011.0,82,10000.0,6.2,350.0,75
2017-08-11 20:20:00,Clouds,289.75,1012.0,82,10000.0,4.6,360.0,75
2017-08-11 21:20:00,Rain,289.35,1011.0,82,10000.0,5.1,360.0,75
2017-08-11 22:20:00,Clouds,289.35,1010.0,82,10000.0,4.1,360.0,75
2017-08-11 23:20:00,Clouds,289.14,1009.0,82,10000.0,3.6,350.0,75
2017-08-12 00:20:00,Clouds,289.14,1009.0,82,10000.0,3.6,350.0,90
2017-08-12 01:20:00,Clouds,289.34,1008.0,82,10000.0,3.6,340.0,90
2017-08-12 02:20:00,Clouds,289.15,1008.0,87,10000.0,3.6,350.0,90
2017-08-12 03:20:00,Clouds,289.15,1008.0,87,10000.0,3.1,330.0,75
2017-08-12 04:20:00,Drizzle,288.94,1008.0,82,10000.0,2.1,330.0,75
2017-08-12 05:20:00,Rain,288.75,1008.0,87,10000.0,3.6,330.0,75
2017-08-12 06:20:00,Clouds,289.15,1007.0,82,10000.0,4.1,320.0,75
2017-08-12 07:20:00,Clouds,288.75,1008.0,87,10000.0,1.5,340.0,75
2017-08-12 08:20:00,Rain,289.35,1008.0,82,10000.0,3.1,280.0,75
2017-08-12 09:20:00,Clouds,289.36,1008.0,82,10000.0,6.7,290.0,75
2017-08-12 10:20:00,Drizzle,289.15,1008.0,72,10000.0,6.2,290.0,75
2017-08-12 11:20:00,Clouds,289.13,1009.0,72,10000.0,5.1,270.0,75
2017-08-12 12:20:00,Rain,289.73,1009.0,72,10000.0,5.1,260.0,75
2017-08-12 13:20:00,Clear,290.52,1008.0,68,10000.0,4.6,250.0,0
2017-08-12 14:20:00,Clouds,290.35,1008.0,77,10000.0,6.7,230.0,75
2017-08-12 15:20:00,Rain,290.96,1008.0,77,10000.0,7.2,240.0,75
2017-08-12 16:20:00,Rain,289.96,1008.0,87,10000.0,5.7,220.0,75
2017-08-12 16:50:00,Rain,289.56,1008.0,93,10000.0,5.7,220.0,75
2017-08-12 18:20:00,Rain,289.15,1008.0,93,10000.0,5.7,210.0,75
2017-08-12 19:20:00,Rain,289.15,1008.0,93,10000.0,6.2,220.0,75
2017-08-12 20:20:00,Rain,289.15,1008.0,100,10000.0,6.2,220.0,75
2017-08-12 21:20:00,Clouds,289.55,1008.0,93,10000.0,6.2,240.0,75
2017-08-12 22:20:00,Drizzle,289.2,1009.0,87,10000.0,6.2,250.0,20
2017-08-12 23:20:00,Clouds,288.36,1009.0,87,10000.0,5.7,250.0,20
2017-08-13 00:20:00,Rain,287.96,1009.0,87,10000.0,6.2,250.0,75
2017-08-13 01:20:00,Rain,287.77,1010.0,93,10000.0,4.6,270.0,75
2017-08-13 02:20:00,Clouds,287.36,1010.0,87,10000.0,4.6,270.0,20
2017-08-13 03:20:00,Clouds,286.81,1011.0,93,10000.0,3.6,260.0,20
2017-08-13 03:50:00,Clouds,286.16,1011.0,93,10000.0,4.1,260.0,20
2017-08-13 05:20:00,Clear,287.16,1012.0,82,10000.0,5.7,260.0,0
2017-08-13 06:20:00,Clear,288.15,1013.0,77,10000.0,6.2,260.0,0
2017-08-13 07:20:00,Clouds,289.15,1013.0,72,10000.0,6.7,270.0,20
2017-08-13 08:20:00,Clouds,289.34,1014.0,63,10000.0,7.2,270.0,20
2017-08-13 09:20:00,Clouds,290.33,1015.0,55,10000.0,9.3,280.0,40
2017-08-13 10:20:00,Clouds,290.35,1015.0,55,10000.0,8.7,270.0,40
2017-08-13 11:20:00,Clear,290.93,1016.0,52,10000.0,8.2,280.0,0
2017-08-13 12:20:00,Clouds,290.74,1016.0,55,10000.0,7.7,280.0,40
2017-08-13 13:20:00,Clouds,291.14,1016.0,48,10000.0,7.7,280.0,40
2017-08-13 14:20:00,Clouds,291.54,1017.0,48,10000.0,7.7,280.0,40
2017-08-13 15:20:00,Clouds,291.15,1017.0,52,10000.0,7.2,300.0,40
2017-08-13 15:50:00,Clouds,291.54,1018.0,48,10000.0,6.2,290.0,40
2017-08-13 17:20:00,Clouds,290.34,1018.0,48,10000.0,6.7,280.0,20
2017-08-13 17:50:00,Clouds,289.54,1018.0,55,10000.0,4.6,290.0,20
2017-08-13 19:20:00,Clear,287.15,1020.0,62,10000.0,3.1,270.0,0
2017-08-13 20:20:00,Clear,286.35,1020.0,67,10000.0,2.6,270.0,0
2017-08-13 21:20:00,Clear,284.95,1021.0,71,10000.0,3.1,280.0,0
2017-08-13 22:20:00,Clear,284.54,1021.0,71,10000.0,2.6,280.0,0
2017-08-13 23:20:00,Clear,283.76,1022.0,76,10000.0,2.1,290.0,0
2017-08-14 00:20:00,Clear,283.15,1022.0,76,10000.0,2.1,280.0,0
2017-08-14 01:20:00,Clear,282.58,1022.0,87,10000.0,1.5,280.0,0
2017-08-14 02:20:00,Clear,281.97,1022.0,93,10000.0,1.5,260.0,0
2017-08-14 03:20:00,Clear,280.74,1023.0,87,10000.0,2.6,260.0,0
2017-08-14 04:20:00,Clear,280.72,1023.0,93,10000.0,1.5,260.0,0
2017-08-14 05:20:00,Clear,283.54,1024.0,87,10000.0,1.5,240.0,0
2017-08-14 06:20:00,Clear,287.34,1024.0,77,10000.0,2.6,270.0,0
2017-08-14 07:20:00,Clouds,288.75,1024.0,63,10000.0,2.1,280.0,20
2017-08-14 08:20:00,Clouds,290.16,1025.0,59,10000.0,2.1,270.0,20
